epoch,lr,train_loss,train_loss_hard,train_loss_soft,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,8.029529954223634,4.085778801422119,2.9933202778625487,7.964,26.026,3.833980612182617,12.66,36.8,12.66,27.446912050247192
2,0.1,6.689809343414306,3.4826101354980468,2.4742521367645263,17.93,45.456,3.8749108867645266,17.97,47.48,17.97,26.807067155838013
3,0.1,5.668734219665527,3.021018691558838,2.079112434387207,26.538,58.332,3.4158334335327147,25.64,57.1,25.64,27.128691911697388
4,0.1,4.977292612304687,2.6923557273864747,1.8155573769378661,32.928,66.438,3.497571669769287,28.58,61.34,28.58,26.542393922805786
5,0.1,4.469907512512207,2.4495925157165526,1.6225556251144408,37.922,71.52,3.9769502014160154,27.1,56.69,28.58,27.154093027114868
6,0.1,4.106322135772705,2.271433588104248,1.485302667503357,42.07,75.21,2.979500363922119,36.59,68.85,36.59,26.711307048797607
7,0.1,3.8669807093048094,2.1516680715942385,1.3955733340072631,44.598,77.464,2.528827098083496,42.67,75.49,42.67,27.082268953323364
8,0.1,3.680122197570801,2.0597052893066405,1.32513477684021,46.724,78.988,2.628113936805725,41.81,72.69,42.67,27.74493408203125
9,0.1,3.5521562466430665,1.9921069541168213,1.2780513833999634,48.25,80.122,3.455900227355957,36.88,68.66,42.67,27.373414039611816
10,0.1,3.448797933807373,1.939607526702881,1.2394970836257935,49.222,81.1,2.4320871322631836,44.93,77.67,44.93,27.557994842529297
11,0.1,3.3798104454040527,1.907765111618042,1.2129639456558228,50.34,81.534,3.1481035343170167,38.05,68.93,44.93,27.056191205978394
12,0.1,3.293326543884277,1.8635446640777589,1.1807771060943604,51.14,82.43,2.298229655838013,47.55,78.73,47.55,27.16111159324646
13,0.1,3.2633327671813963,1.8453152796173096,1.1703375617599487,51.356,82.446,3.144278649520874,38.46,72.18,47.55,26.847122192382812
14,0.1,3.175963053970337,1.8018637362670897,1.1375155931472778,52.524,83.084,2.370283967971802,45.11,77.73,47.55,26.705885887145996
15,0.1,3.1594565368652345,1.7920263451766967,1.131721684703827,52.64,83.472,2.5440964796066283,45.02,74.44,47.55,26.798548936843872
16,0.1,3.108391298522949,1.7670479865264892,1.1124336544036866,53.124,83.698,2.7264211742401123,44.47,76.87,47.55,26.798463821411133
17,0.1,3.063956188964844,1.7412991727447509,1.0966532999420167,53.812,84.09,2.7199499641418456,43.64,75.26,47.55,26.746241092681885
18,0.1,3.04662938873291,1.7384468021392823,1.088702992324829,54.264,84.174,2.3488127431869508,46.97,78.33,47.55,26.701014041900635
19,0.1,2.9961599768829346,1.7069334591674805,1.0713466270828247,54.496,84.62,2.426345694732666,46.46,77.74,47.55,26.73490619659424
20,0.1,3.014693427581787,1.7190830489349365,1.0775759509277343,54.338,84.552,2.049544143104553,50.02,80.64,50.02,26.442742109298706
21,0.1,2.9748978242492674,1.6945205891036987,1.0638187646484376,55.064,84.864,2.1618688449859618,49.24,80.18,50.02,26.705054998397827
22,0.1,2.958868317565918,1.6903191834259033,1.05685436252594,55.17,85.006,2.2071012748718264,49.72,80.9,50.02,26.71598196029663
23,0.1,2.9238558866882323,1.6698936667251587,1.0444545248794557,55.65,85.186,2.345924020385742,47.5,78.72,50.02,26.678424835205078
24,0.1,2.9288560250854494,1.6745547661590576,1.0457893195343018,55.524,85.2,2.31879151763916,47.97,78.62,50.02,26.826470136642456
25,0.1,2.9030598040771483,1.6590469174575806,1.0367681715774537,55.822,85.548,2.4631355922698974,45.52,77.9,50.02,30.52410101890564
26,0.1,2.881876378479004,1.650550393447876,1.0283005863189698,55.77,85.698,2.5053158290863036,46.29,76.35,50.02,26.319246768951416
27,0.1,2.863043066329956,1.6367419165039063,1.0223360514450073,56.36,85.66,2.3668131954193115,47.03,79.33,50.02,26.697125911712646
28,0.1,2.861797765274048,1.6374951263809203,1.0215251002502441,56.408,85.716,2.3753409330368043,47.09,77.78,50.02,26.704030990600586
29,0.1,2.843142204437256,1.6262193576812745,1.0150162661743165,56.598,85.776,2.678905167388916,43.71,75.53,50.02,26.739750862121582
